2026-05-17 06:18:36 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:18:38 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
2026-05-17 06:25:26 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:25:27 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
2026-05-17 06:27:56 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:27:57 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
2026-05-17 06:30:58 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:30:59 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
2026-05-17 06:32:21 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:32:21 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
2026-05-17 06:37:06 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:37:07 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
2026-05-17 06:41:54 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:41:55 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
2026-05-17 06:50:31 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:50:32 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
2026-05-17 06:54:36 | INFO     | annotation_tool.utils.logging_config | Logging to D:\Research-work\Annotation-tool\logs\annotation_tool.log
2026-05-17 06:54:37 | INFO     | annotation_tool.main | Restored last session. Use File menu to load different data if needed.
